name,ra,dec,spect_type,vmag
HIP 89642,274.4072049,-36.76128103,M2III, 3.10
HIP 35363,109.5766704,-36.7339666,B2V+..., 4.65
HIP 65109,200.1502732,-36.71208109,A2V, 2.75
HIP 40706,124.6391383,-36.65953286,A4m..., 4.44
HIP 68933,211.6721861,-36.36869575,K0IIIb, 2.06
HIP 75177,230.4518186,-36.26116729,K5III, 3.57
HIP 17874,57.36367035,-36.2001125,G8III, 4.17
HIP 46515,142.3114062,-35.9513478,K3III, 4.51
HIP 40274,123.3730102,-35.89954225,B2ne, 4.78
HIP 27628,87.7398034,-35.76929225,K1.5III, 3.12
HIP 91918,281.0806646,-35.64192109,B2V, 4.86
HIP 23595,76.10129897,-35.48287057,K2III, 4.55
HIP 25859,82.8030645,-35.47043592,K1II/III, 3.86
HIP 42515,130.0255689,-35.30830091,G5II/III, 3.97
HIP 28199,89.38421613,-35.28330688,B2.5IV, 4.36
HIP 98412,299.9340597,-35.27624433,B2.5IV, 4.37
HIP 81304,249.0935872,-35.25535553,K5III, 4.18
HIP 72104,221.2466463,-35.19182069,A0V, 4.92
HIP 72010,220.9145146,-35.17322549,K3III, 4.06
HIP 29807,94.13806399,-35.14073157,G8II, 4.37
HIP 37096,114.3421666,-34.96857044,B8IV/V, 4.53
HIP 24659,79.37093064,-34.89438961,K0/K1III/IV, 4.81
HIP 56922,175.0534184,-34.7446553,B9V, 4.70
HIP 76945,235.6709881,-34.71033325,B5V, 4.75
HIP 80911,247.8455896,-34.70432087,B2III-IV, 4.24
HIP 67457,207.3614636,-34.45063035,M5III, 4.19
HIP 76705,234.9415619,-34.41189273,G8/K0III, 4.66
HIP 90185,276.0431097,-34.3843146,B9.5III, 1.79
HIP 32855,102.7181221,-34.36732059,K2/K3III, 4.99
HIP 82396,252.5426874,-34.29260982,K2IIIb, 2.29
HIP 83574,256.2056295,-34.12292247,B2Iab, 4.83
HIP 26634,84.91224975,-34.07404941,B7IV, 2.65
HIP 109289,332.1080337,-34.04372111,K4III, 4.99
HIP 20535,66.00902233,-34.01698632,K4III, 3.97
HIP 62683,192.6716124,-33.99926779,B9V, 4.90
HIP 57936,178.2273387,-33.90813014,Ap Si, 4.29
HIP 27810,88.2786848,-33.8014395,B5V, 4.88
HIP 20042,64.47341068,-33.79833145,B9V, 3.55
HIP 102831,312.4919979,-33.7796732,G8III, 4.89
HIP 77634,237.7397573,-33.62710488,B9.5III-IV, 3.97
HIP 30277,95.52852147,-33.43627251,G7II, 3.85
HIP 42828,130.8981145,-33.18641133,B1.5III, 3.68
HIP 40945,125.3459765,-33.05437199,K2/K3III, 4.83
HIP 67153,206.4231943,-33.04336606,F3V, 4.23
HIP 107380,326.2366159,-33.02555306,B9.5V, 4.35
HIP 2210,6.98213606,-33.0070446,M2/M3III, 4.86
HIP 67669,207.9567718,-32.99401625,B5, 4.32
HIP 109285,332.0956383,-32.98839827,A2V, 4.50
HIP 112948,343.1314913,-32.87545019,A0III, 4.46
HIP 30788,97.04257272,-32.58012947,B4V, 4.47
HIP 109422,332.535348,-32.54844042,F6V, 4.94
HIP 113246,343.9870501,-32.53970196,G8III, 4.20
HIP 115102,349.705945,-32.53183574,K1III, 4.41
