name,ra,dec,spect_type,vmag
HIP 54327,166.7080382,-70.87793836,B2V, 5.58
HIP 52520,161.0837629,-70.85972326,A5IV/V, 6.25
HIP 52537,161.135086,-70.85525541,A6IV, 6.43
HIP 84158,258.0826983,-70.72089238,K1IVCN..., 6.21
HIP 53272,163.4255392,-70.72033781,B6V, 5.99
HIP 65522,201.4599951,-70.62725069,Ap, 5.65
HIP 44626,136.4099252,-70.53852074,B2IVe, 4.66
HIP 34481,107.1867688,-70.49919435,G8IIIvar, 3.78
HIP 34473,107.1764228,-70.49734046,F2, 5.68
HIP 117105,356.1041797,-70.49037556,G8IV, 6.06
HIP 93238,284.8719785,-70.4683674,A8V, 6.49
HIP 66574,204.6909631,-70.44475263,K3III, 6.11
HIP 32332,101.2319745,-70.43377284,K3III, 6.10
HIP 110668,336.293299,-70.4314706,F3III, 5.78
HIP 42425,129.7713677,-70.38665235,A0V, 5.19
HIP 112694,342.3227015,-70.34806201,A2V, 6.35
HIP 69241,212.6287968,-70.30545037,K4II, 6.07
HIP 76736,235.048443,-70.22774887,A5V, 6.45
HIP 57696,177.4859461,-70.2257858,G5Ib, 4.98
HIP 59551,183.1959658,-70.15178663,F6Ib, 6.05
HIP 104755,318.3351602,-70.12621725,M2III, 5.06
HIP 84979,260.5244957,-70.12317887,B8/B9Vn..., 5.39
HIP 41451,126.8199481,-70.09359517,A0V, 5.51
HIP 80686,247.1158385,-70.08467012,F9V, 4.90
HIP 74582,228.579866,-70.07945566,N0v, 5.75
HIP 46143,141.1548248,-70.07577997,K1III, 6.45
HIP 113137,343.6648215,-70.07388667,G4IV-V, 6.04
HIP 50099,153.4344955,-70.03792169,B8III, 3.29
HIP 30321,95.65929247,-69.98412773,K5III, 5.56
HIP 64390,197.9640897,-69.94201974,F3IV/V, 5.92
HIP 72983,223.7252137,-69.86092469,B5V, 6.38
HIP 37720,116.054569,-69.82161624,A0IV/V, 6.16
HIP 105678,321.0697266,-69.73386384,C5II, 6.28
HIP 69298,212.7580515,-69.71926784,A6IV, 6.07
HIP 45238,138.3010033,-69.71747245,A2IV, 1.67
HIP 30565,96.36937934,-69.69078672,G8III, 5.37
HIP 64682,198.8573578,-69.67919729,K2/K3III, 6.37
HIP 107835,327.6967735,-69.62940458,M0III, 5.52
HIP 65755,202.1951017,-69.6271126,B8V, 6.17
HIP 1647,5.16267858,-69.62491154,B9V, 5.50
HIP 15840,51.00948316,-69.62465075,A4:V+..., 6.14
HIP 101626,308.965287,-69.61047763,K2III, 6.09
HIP 4293,13.75124739,-69.52697888,G7III, 5.45
HIP 106044,322.1866138,-69.5052732,M5III, 5.47
HIP 52785,161.8775655,-69.43773364,B2IV, 6.35
HIP 61981,190.5209754,-69.4075508,F7Ib, 6.31
HIP 67664,207.9475983,-69.40124669,K5/M0III, 5.73
HIP 15968,51.40105611,-69.33659399,F3V, 5.96
HIP 83150,254.8915924,-69.26813178,Ap Si, 5.79
HIP 14547,46.95416193,-69.26495674,K1III, 6.12
HIP 52730,161.7003725,-69.20979312,A2IV, 6.34
HIP 58720,180.6573196,-69.19227106,B9V, 5.89
HIP 94724,289.1191688,-69.19075492,A6IV/V, 6.25
HIP 98332,299.6715746,-69.16371251,Am, 5.74
HIP 61585,189.2961821,-69.13553358,B2IV-V, 2.69
HIP 48782,149.2493234,-69.1018253,B3V, 6.18
HIP 53556,164.3342491,-69.03806214,B7V, 6.48
HIP 82273,252.1661074,-69.02763503,K2IIb-IIIa, 1.91
HIP 5896,18.93956391,-68.87623708,F6IV, 4.25
HIP 29134,92.18476724,-68.84345717,B8V, 5.06
HIP 34270,106.5595972,-68.83757671,K0III, 6.47
HIP 62212,191.2586085,-68.83074797,F6Ia, 6.16
HIP 113969,346.2172852,-68.82037973,F4III, 5.53
HIP 102773,312.3261463,-68.77640032,K0III, 5.41
HIP 98346,299.7205264,-68.76240414,A2V, 6.38
HIP 93574,285.8736789,-68.7555329,F8V, 5.89
HIP 45571,139.322502,-68.68957252,F4V, 5.38
HIP 44283,135.2853648,-68.68391841,M1III, 5.89
HIP 49764,152.3758317,-68.68283264,A0IV, 5.80
HIP 74946,229.7278701,-68.67946723,A1V, 2.87
HIP 11001,35.43759585,-68.6594239,A3V, 4.08
HIP 59046,181.5830556,-68.65140083,G3Ib, 6.23
HIP 25482,81.74925231,-68.62249571,F0IV/V, 6.02
HIP 39794,121.98267,-68.61713647,B6IV, 4.35
HIP 77982,238.873389,-68.60298616,G6VII, 5.11
HIP 95999,292.7955958,-68.43388713,K4/K5III, 5.98
HIP 94150,287.4692597,-68.42434424,G8/K0III/IV, 5.31
HIP 95369,291.0229734,-68.37107984,K2III, 6.33
HIP 58884,181.1622784,-68.32889673,A0V, 5.34
HIP 75565,231.5605344,-68.30918936,K0III, 5.89
HIP 60329,185.5501432,-68.30719873,K0III, 5.73
HIP 81710,250.3463767,-68.2960944,B7IV, 5.89
HIP 83556,256.1404348,-68.27864298,M3/M4III, 6.47
HIP 12394,39.8967653,-68.2669476,B9III, 4.12
HIP 59389,182.7550758,-68.26093422,K0/K1III, 6.48
HIP 89674,274.5039864,-68.22921619,B9V, 6.32
HIP 42850,130.9763591,-68.21164561,K3III:, 6.33
HIP 103752,315.3667949,-68.20960595,A2V, 6.36
HIP 70492,216.276413,-68.19532385,A3Ib, 5.56
HIP 62322,191.5702901,-68.10809405,B2V, 3.04
HIP 59929,184.394318,-67.96067161,M5III, 4.06
HIP 35228,109.2076284,-67.95717248,F6II, 3.97
HIP 79797,244.2728418,-67.94107968,A4V, 5.95
HIP 71530,219.4449859,-67.93132799,F7V, 6.03
HIP 33682,104.9607414,-67.91701197,K3III, 5.18
HIP 64661,198.8124908,-67.8945633,B8V, 4.79
HIP 114367,347.4363855,-67.87615966,F3IV, 6.47
HIP 86510,265.1857053,-67.85412144,G8III, 6.48
HIP 10418,33.56042796,-67.84155199,M1III, 5.57
HIP 55140,169.3292569,-67.82349927,M2III, 6.06
HIP 64117,197.1159993,-67.79676243,M1III, 6.34
HIP 84969,260.4980616,-67.7706496,K1III, 4.76
HIP 61404,188.7269318,-67.75688853,M6II/III, 6.11
HIP 10513,33.86899336,-67.74633515,K2III, 5.67
HIP 71002,217.8182753,-67.71705401,K1III, 5.84
HIP 82539,253.0740972,-67.68151371,K2III, 6.33
HIP 67942,208.7047373,-67.6520644,K2III, 5.74
HIP 8928,28.73339519,-67.64748114,G5III, 4.68
HIP 60417,185.8126677,-67.63217115,K0IV-V, 6.36
HIP 56727,174.4521135,-67.62035361,K0III, 5.94
HIP 12876,41.38555249,-67.616724,A2IV/V, 4.83
HIP 60320,185.5307777,-67.52209279,Am, 5.15
HIP 110935,337.1560048,-67.48888731,A3V, 5.56
HIP 75091,230.1689979,-67.48150132,B3V, 6.27
HIP 115062,349.5832962,-67.47122023,K2/K3III, 6.15
HIP 81873,250.8421395,-67.43231072,A0Vn, 6.02
HIP 98959,301.3811952,-67.31925724,G2V, 6.07
HIP 93015,284.2376694,-67.23353511,F5Ib-II:, 4.40
HIP 84248,258.3254689,-67.19637197,K0III-IV, 5.87
HIP 61703,189.7181921,-67.19304671,B1Ia, 6.22
HIP 24372,78.43927858,-67.18534976,K2III, 4.81
HIP 82129,251.6667253,-67.10965828,Ap, 5.10
HIP 74184,227.3746641,-67.08412683,F8Iab-Ib, 5.76
HIP 45615,139.4652756,-67.05089926,K2III, 6.14
HIP 51425,157.5367188,-66.98466678,B4IV, 6.19
HIP 56287,173.0833185,-66.9618349,K1IIICN..., 5.89
HIP 98478,300.0962771,-66.94888773,K0IV, 5.75
HIP 98624,300.4683503,-66.94379223,K2IVCN..., 5.32
HIP 15353,49.49578856,-66.92688494,A3V, 6.03
HIP 47591,145.5541142,-66.91481962,A0V, 6.33
HIP 50847,155.7424136,-66.90152522,B8V, 4.97
HIP 27534,87.47313958,-66.9012309,B6V, 5.10
HIP 114408,347.54994,-66.85772967,K0IV, 6.47
HIP 57581,177.0603726,-66.81487085,K4III, 4.75
HIP 97569,297.4725797,-66.813093,K4III, 6.44
HIP 43414,132.6445031,-66.79322494,F5IV, 5.34
HIP 64820,199.3043125,-66.78342263,K2Ib/II, 4.86
HIP 102157,310.4877628,-66.76062542,B8Vvar, 5.14
HIP 100379,305.3685881,-66.74969742,F6V, 6.49
HIP 57363,176.4023639,-66.72884344,A7III, 3.63
HIP 46737,142.8877048,-66.7190455,K1III, 6.27
HIP 12717,40.86027168,-66.71405573,F5V, 6.23
HIP 46460,142.127491,-66.70198874,A0V, 5.90
HIP 96734,294.9672105,-66.68540741,A0Vn, 6.37
HIP 22737,73.37703998,-66.67543873,M0/M1III, 6.43
HIP 94789,289.3009166,-66.66103756,A4IV/V, 5.52
HIP 93287,285.0147768,-66.65351408,K0III, 5.98
HIP 72438,222.1856717,-66.59353612,B2.5V, 5.91
HIP 69763,214.1613584,-66.58788092,B1.5III, 5.72
HIP 115756,351.781123,-66.58085439,K4III, 6.47
HIP 26368,84.22911509,-66.56031364,B9.5V, 6.28
HIP 61796,189.9829257,-66.5111221,B8V, 6.26
HIP 1599,5.00797581,-64.8776232,F9V, 4.23
HIP 11293,36.36035123,-66.49402863,M5III, 6.39
HIP 16368,52.71534366,-66.4897181,B8V, 5.81
HIP 5992,19.26533831,-66.39789075,A0V, 6.23
HIP 44382,135.6116618,-66.39584369,Am, 4.00
HIP 58085,178.6859082,-66.37603942,F2IV, 6.38
HIP 50083,153.3778442,-66.37283938,Am, 5.15
HIP 99200,302.0853343,-66.35467601,K5III, 6.45
HIP 76440,234.1799454,-66.31690469,K0III, 4.11
HIP 68455,210.219227,-66.26885149,F0V, 5.96
HIP 64466,198.2031929,-66.22676607,A0V(n), 5.91
HIP 102395,311.2398153,-66.20323826,A5IV, 3.42
HIP 38210,117.4208166,-66.19597303,B9V, 5.78
HIP 99240,302.1744171,-66.17932101,G5IV-Vvar, 3.55
HIP 70528,216.4158385,-66.17288297,A1V, 6.36
HIP 41312,126.4343594,-66.13652042,K2IIIvar, 3.77
HIP 37773,116.1828233,-66.07204846,G6/G8III, 6.37
HIP 9318,29.92116544,-66.06657323,K2III, 6.09
HIP 28909,91.53900939,-66.03968885,A0V, 5.72
HIP 72965,223.6774613,-65.99106556,B3Vn, 6.09
HIP 96882,295.4051826,-65.8542392,M0III, 6.08
HIP 60183,185.1178376,-65.84263025,B9V, 6.20
HIP 42895,131.1252001,-65.82568206,A9V, 6.03
HIP 70657,216.7796384,-65.82161161,K3III, 5.87
HIP 49698,152.178491,-65.81553262,K0III, 5.26
HIP 68270,209.6303474,-65.80057278,K0III, 6.20
HIP 60601,186.3234255,-65.76961193,G8/K0IV, 6.29
HIP 27100,86.19341279,-65.7355408,A7V, 4.34
HIP 87822,269.1007345,-65.72096439,F8V, 6.36
HIP 59050,181.5961827,-65.70942594,G8/K0III, 5.95
HIP 51194,156.8558315,-65.7047139,A2V, 6.00
HIP 59898,184.2765174,-65.69293557,A0V, 6.06
HIP 66152,203.3996681,-65.6326223,A0V, 6.36
HIP 40680,124.5782399,-65.6132455,K1III, 5.06
HIP 97674,297.7545605,-65.60470281,F2III-IV, 6.04
HIP 29353,92.81256272,-65.58970507,M2.5III, 5.01
HIP 118322,359.978792,-65.57707774,B9IV, 4.49
HIP 30973,97.51253886,-65.56838774,F0III, 6.28
HIP 112533,341.8987743,-65.56023545,K1III, 6.49
HIP 59003,181.4734494,-65.54687537,B8Ia-Iab, 6.30
HIP 81252,248.9365457,-65.49532908,G8/K0III, 5.50
HIP 87564,268.3259076,-65.48844303,K0/K1III, 6.48
HIP 3330,10.61790472,-65.46813002,F6V, 5.38
HIP 4879,15.67872783,-65.45611076,M2III, 6.25
HIP 13429,43.22769897,-65.45525503,K0/K1III, 6.47
HIP 77390,236.9712309,-65.44218988,A5, 5.54
HIP 9149,29.47237594,-65.42468427,G8II/III, 6.36
HIP 56862,174.8734708,-65.3977489,G2III + A, 5.01
HIP 82517,252.9745196,-65.37542484,B8II/III, 6.12
HIP 105858,321.6103839,-65.36814438,F6V, 4.21
HIP 64094,197.0298289,-65.30601741,WC6 + O9.5I, 5.44
HIP 64790,199.1876916,-65.1381259,F5V, 6.06
HIP 74047,226.986458,-65.27543844,K3III, 6.18
HIP 94770,289.2521916,-65.2276441,B8/B9V, 6.42
HIP 57851,177.963637,-65.20589445,B4V, 4.89
HIP 51327,157.2652971,-65.17633489,M1III, 6.42
HIP 50562,154.9251752,-65.13724358,K2II, 6.35
HIP 2889,9.15663761,-65.12442483,K2/K3III, 6.43
HIP 52221,160.0477648,-65.10024026,B9p Si, 5.51
HIP 92294,282.158158,-65.07748945,A9V, 5.71
HIP 48002,146.7755734,-65.07201888,A9, 2.92
HIP 78279,239.7423322,-65.03756903,B7III, 5.74
HIP 71908,220.6278543,-64.97456957,F1Vp, 3.18
HIP 110838,336.8328045,-64.96637927,B8V, 4.51
HIP 55597,170.8392975,-64.95473134,B5, 5.09
HIP 46328,141.684088,-64.9298568,A3Vn, 6.05
HIP 92024,281.3619008,-64.87089771,A7V, 4.78
HIP 54289,166.6013309,-64.83995575,A3V, 6.39
HIP 106818,324.5116857,-64.82414493,A0/A1IV, 6.22
HIP 17440,56.04814541,-64.80709398,K0IV SB, 3.84
HIP 86929,266.4333435,-64.7237345,K1III, 3.61
HIP 107773,327.5005433,-64.7124436,K1III, 5.62
HIP 105148,319.50194,-64.68151068,B8V, 6.32
HIP 50520,154.771331,-64.67628786,A1V, 5.66
HIP 65783,202.2832668,-64.67577724,A2m, 6.09
HIP 91733,280.5942892,-64.64297471,A5V, 6.35
HIP 59072,181.7202202,-64.61363898,F2III, 4.14
HIP 41321,126.4650703,-64.60065452,G8/K0III, 5.95
HIP 55280,169.8201814,-64.58259742,F6IV, 5.99
HIP 66681,205.0450086,-64.57655426,F3III-IV, 5.79
HIP 91854,280.9054949,-64.55131121,K0III, 5.76
HIP 88815,271.9515607,-64.55003748,K2/K3III, 6.40
HIP 65387,201.0018474,-64.53561699,G5III-IV, 4.52
HIP 75665,231.8879207,-64.531457,K5/M0III, 5.71
HIP 52678,161.5690769,-64.51458587,B7:V, 5.33
HIP 36346,112.214173,-64.5097841,K5III, 6.38
HIP 44665,136.5317082,-64.49992086,K3III, 6.37
HIP 65479,201.308899,-64.48509219,F2III, 5.32
